,度中心性,入度中心性,出度中心性,接近中心性,中介中心性,特征向量中心性,PageRank
城市3,1.0,0.5000000000000002,1.0,0.7384615384615384,0.4714285714285714,0.5600515873979114,1.0
城市1,0.7142857142857144,0.5000000000000002,0.6666666666666669,0.7384615384615384,0.7,0.29028360313473367,0.10237773569945231
城市2,0.7142857142857144,1.0,0.33333333333333337,1.0,0.42857142857142855,0.8708155691987387,0.5629070295145031
城市6,0.7142857142857144,0.25000000000000006,0.8333333333333336,0.5142857142857145,0.0,0.6881026726974374,0.5495559327559021
城市10,0.5714285714285715,0.0,0.8333333333333336,0.14999999999999997,0.0,0.5843521459628975,0.29472464367388784
城市5,0.5714285714285715,0.25000000000000006,0.6666666666666669,0.5142857142857145,0.18571428571428572,0.33515748203177725,0.15755864499810307
城市7,0.5714285714285715,0.7500000000000001,0.33333333333333337,1.0,0.37142857142857144,1.0,0.6809043118644543
城市4,0.42857142857142855,0.25000000000000006,0.5000000000000001,0.5142857142857145,1.0,0.0,0.0
城市8,0.42857142857142855,0.0,0.6666666666666669,0.0,0.0,0.19430995714308325,0.12818439014247993
城市9,0.0,0.25000000000000006,0.0,0.5142857142857145,0.0,0.7841145697042184,0.8525704301692075
